Timestamp(ms),Theta,Beta,FocusRatio
1780913001285,0.370413,0.100291,0.270754
1780913001301,0.370413,0.100291,0.270754
1780913001316,0.370413,0.100291,0.270754
1780913001332,0.370238,0.100161,0.27053
1780913001348,0.370052,0.100027,0.270307
1780913001364,0.370238,0.100161,0.27053
1780913001380,0.370238,0.100161,0.27053
1780913001396,0.370238,0.100161,0.27053
1780913001411,0.370413,0.100291,0.270754
1780913001426,0.370413,0.100291,0.270754
1780913001442,0.369865,0.0998939,0.270082
1780913001458,0.370238,0.100161,0.27053
1780913001474,0.370413,0.100291,0.270754
1780913001490,0.370238,0.100161,0.27053
1780913001505,0.370411,0.100291,0.270757
1780913001520,0.369863,0.0998943,0.270085
1780913001536,0.370411,0.100291,0.270757
1780913001552,0.370411,0.100291,0.270757
1780913001568,0.370236,0.100161,0.270533
1780913001584,0.370411,0.100291,0.270757
1780913001600,0.370236,0.100161,0.270533
1780913001616,0.370236,0.100161,0.270533
1780913001632,0.370236,0.100161,0.270533
1780913001648,0.370236,0.100161,0.270533
1780913001663,0.370411,0.100291,0.270757
1780913001678,0.370236,0.100161,0.270533
1780913001694,0.370236,0.100161,0.270533
1780913001710,0.370411,0.100291,0.270757
1780913001725,0.370236,0.100161,0.270533
1780913001740,0.370236,0.100161,0.270533
1780913001756,0.370411,0.100291,0.270757
1780913001772,0.370236,0.100161,0.270533
1780913001788,0.370411,0.100291,0.270757
1780913001804,0.370411,0.100291,0.270757
1780913001820,0.370411,0.100291,0.270757
1780913001836,0.370411,0.100291,0.270757
1780913001851,0.370411,0.100291,0.270757
1780913001866,0.370411,0.100291,0.270757
1780913001882,0.370411,0.100291,0.270757
1780913001898,0.370236,0.100161,0.270533
1780913001914,0.370411,0.100291,0.270757
1780913001929,0.370236,0.100161,0.270533
1780913001944,0.370236,0.100161,0.270533
1780913001960,0.370236,0.100161,0.270533
1780913001976,0.370411,0.100291,0.270757
1780913001992,0.370411,0.100291,0.270757
1780913002007,0.370049,0.100028,0.270309
1780913002023,0.370415,0.100289,0.270748
1780913002039,0.370415,0.100289,0.270748
1780913002055,0.37024,0.100159,0.270524
1780913002071,0.370415,0.100289,0.270748
1780913002087,0.370415,0.100289,0.270748
1780913002103,0.370054,0.100026,0.2703
1780913002119,0.370415,0.100289,0.270748
1780913002135,0.370415,0.100289,0.270748
1780913002150,0.370054,0.100026,0.2703
1780913002166,0.370415,0.100289,0.270748
1780913002182,0.370415,0.100289,0.270748
1780913002197,0.37024,0.100159,0.270524
1780913002213,0.370415,0.100289,0.270748
1780913002229,0.370415,0.100289,0.270748
1780913002245,0.370054,0.100026,0.2703
1780913002261,0.370415,0.100289,0.270748
1780913002277,0.370415,0.100289,0.270748
1780913002293,0.370415,0.100289,0.270748
1780913002309,0.37024,0.100159,0.270524
1780913002325,0.370054,0.100026,0.2703
1780913002341,0.370415,0.100289,0.270748
1780913002357,0.37024,0.100159,0.270524
1780913002373,0.37024,0.100159,0.270524
1780913002389,0.370415,0.100289,0.270748
1780913002405,0.37024,0.100159,0.270524
1780913002421,0.37024,0.100159,0.270524
1780913002436,0.370415,0.100289,0.270748
1780913002452,0.370415,0.100289,0.270748
1780913002468,0.370415,0.100289,0.270748
1780913002484,0.370415,0.100289,0.270748
1780913002500,0.37024,0.100159,0.270524
1780913002516,0.37024,0.100159,0.270524
1780913002532,0.370054,0.100026,0.2703
1780913002548,0.370427,0.100281,0.270718
1780913002564,0.370427,0.100281,0.270718
1780913002580,0.370427,0.100281,0.270718
1780913002596,0.370253,0.100151,0.270494
1780913002612,0.370427,0.100281,0.270718
1780913002628,0.370427,0.100281,0.270718
1780913002644,0.370253,0.100151,0.270494
1780913002660,0.370066,0.100018,0.270269
1780913002676,0.370253,0.100151,0.270494
1780913002692,0.370066,0.100018,0.270269
1780913002708,0.370066,0.100018,0.270269
1780913002724,0.370427,0.100281,0.270718
1780913002740,0.370253,0.100151,0.270494
1780913002756,0.370427,0.100281,0.270718
1780913002771,0.370253,0.100151,0.270494
1780913002787,0.370253,0.100151,0.270494
1780913002803,0.370427,0.100281,0.270718
1780913002818,0.370427,0.100281,0.270718
1780913002833,0.370427,0.100281,0.270718
1780913002849,0.370427,0.100281,0.270718
1780913002865,0.370427,0.100281,0.270718
1780913002881,0.370427,0.100281,0.270718
1780913002897,0.370066,0.100018,0.270269
1780913002913,0.370427,0.100281,0.270718
1780913002929,0.370427,0.100281,0.270718
1780913002945,0.370253,0.100151,0.270494
1780913002961,0.370427,0.100281,0.270718
1780913002976,0.370427,0.100281,0.270718
1780913002992,0.370427,0.100281,0.270718
1780913003008,0.370066,0.100018,0.270269
1780913003024,0.370427,0.100281,0.270718
1780913003040,0.370427,0.100281,0.270718
1780913003055,0.370261,0.100146,0.270474
1780913003070,0.370261,0.100146,0.270474
1780913003086,0.370435,0.100276,0.270699
1780913003102,0.370435,0.100276,0.270699
1780913003118,0.370075,0.100013,0.27025
1780913003134,0.370261,0.100146,0.270474
1780913003150,0.370261,0.100146,0.270474
1780913003166,0.370435,0.100276,0.270699
1780913003182,0.370075,0.100013,0.27025
1780913003198,0.370261,0.100146,0.270474
1780913003213,0.370261,0.100146,0.270474
1780913003228,0.370435,0.100276,0.270699
1780913003244,0.370075,0.100013,0.27025
1780913003260,0.370435,0.100276,0.270699
1780913003276,0.370261,0.100146,0.270474
1780913003292,0.370435,0.100276,0.270699
1780913003308,0.370435,0.100276,0.270699
1780913003324,0.370261,0.100146,0.270474
1780913003340,0.370435,0.100276,0.270699
1780913003356,0.370435,0.100276,0.270699
1780913003372,0.370261,0.100146,0.270474
1780913003388,0.370075,0.100013,0.27025
1780913003404,0.370261,0.100146,0.270474
1780913003420,0.370261,0.100146,0.270474
1780913003436,0.370261,0.100146,0.270474
1780913003452,0.370261,0.100146,0.270474
1780913003467,0.370436,0.100276,0.270699
1780913003482,0.370261,0.100146,0.270474
1780913003498,0.370261,0.100146,0.270474
1780913003514,0.370261,0.100146,0.270474
1780913003529,0.370261,0.100146,0.270474
1780913003544,0.370435,0.100276,0.270699
1780913003560,0.370446,0.100276,0.27069
1780913003576,0.370446,0.100276,0.27069
1780913003592,0.370086,0.100013,0.270241
1780913003608,0.370272,0.100146,0.270466
1780913003624,0.370272,0.100146,0.270466
1780913003640,0.370272,0.100146,0.270466
1780913003656,0.370086,0.100013,0.270241
1780913003672,0.370446,0.100276,0.27069
1780913003688,0.370272,0.100146,0.270466
1780913003704,0.370446,0.100276,0.27069
1780913003720,0.370446,0.100276,0.27069
1780913003737,0.370086,0.100013,0.270241
1780913003752,0.370446,0.100276,0.27069
1780913003768,0.370272,0.100146,0.270466
1780913003784,0.370446,0.100276,0.27069
1780913003800,0.370272,0.100146,0.270466
1780913003816,0.370446,0.100276,0.27069
1780913003832,0.370446,0.100276,0.27069
1780913003848,0.370446,0.100276,0.27069
1780913003864,0.370272,0.100146,0.270466
1780913003880,0.370272,0.100146,0.270466
1780913003895,0.370272,0.100146,0.270466
1780913003910,0.370446,0.100276,0.27069
1780913003925,0.370446,0.100276,0.27069
1780913003940,0.370446,0.100276,0.27069
1780913003956,0.370446,0.100276,0.27069
1780913003972,0.370446,0.100276,0.27069
1780913003988,0.370446,0.100276,0.27069
1780913004004,0.370272,0.100146,0.270466
1780913004020,0.370446,0.100276,0.27069
1780913004036,0.370446,0.100276,0.27069
1780913004052,0.370272,0.100146,0.270466
1780913004068,0.370446,0.100276,0.27069
1780913004084,0.370468,0.100272,0.270662
1780913004100,0.370294,0.100141,0.270437
1780913004116,0.370468,0.100272,0.270662
1780913004133,0.370109,0.100008,0.270212
1780913004148,0.370468,0.100272,0.270662
1780913004163,0.370294,0.100141,0.270437
1780913004179,0.370294,0.100141,0.270437
1780913004195,0.370294,0.100141,0.270437
1780913004211,0.370294,0.100141,0.270437
1780913004226,0.370294,0.100141,0.270437
1780913004242,0.370294,0.100141,0.270437
1780913004258,0.370468,0.100272,0.270662
1780913004274,0.370294,0.100141,0.270437
1780913004290,0.370294,0.100141,0.270437
1780913004305,0.370468,0.100272,0.270662
1780913004321,0.370109,0.100008,0.270212
1780913004337,0.370468,0.100272,0.270662
1780913004353,0.370468,0.100272,0.270662
1780913004369,0.370294,0.100141,0.270437
1780913004385,0.370109,0.100008,0.270212
